layer,num_samples,feat_dim,full_rank,stable_rank,frob_norm,spectral_norm,dim_30,dim_30_frac,dim_50,dim_50_frac,dim_70,dim_70_frac,dim_90,dim_90_frac,dim_95,dim_95_frac,top4_energy,top8_energy,top16_energy,top32_energy,top64_energy
base_model.model.backbone.stages.2.blocks.7.ffn.layers.0.0,640,1,1,1.0000000381522396,25.46332980092708,25.463329315185547,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.7.ffn.layers.0.0.base_layer,640,1,1,1.0000000138292027,29.275175297030675,29.275175094604492,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.7.ffn.layers.0.0.lora_A.default,640,1,1,1.000000006748139,323.7221995785893,323.7221984863281,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.7.ffn.layers.0.0.lora_B.default,640,1,1,1.0000000395261206,2.012033263870017,2.012033224105835,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.7.ffn.layers.1,640,1,1,0.9999999888001786,0.08097358748293247,0.08097358793020248,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.8.attn.w_msa.proj,2560,1,1,1.0000000372975069,0.5397389631799409,0.5397389531135559,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.8.ffn.layers.0.0,640,1,1,1.0000000289664637,22.54653391114142,22.546533584594727,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.8.ffn.layers.0.0.base_layer,640,1,1,1.0000000183840192,25.371206516781726,25.371206283569336,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.8.ffn.layers.0.0.lora_A.default,640,1,1,0.9999999664593744,594.523732705432,594.5237426757812,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.8.ffn.layers.0.0.lora_B.default,640,1,1,1.0000000236602675,1.7272912468213997,1.727291226387024,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.8.ffn.layers.1,640,1,1,1.0000000015830812,0.22356452065744548,0.2235645204782486,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.9.attn.w_msa.proj,2560,1,1,0.9999999963590435,0.6771509039002935,0.6771509051322937,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.9.ffn.layers.0.0,640,1,1,0.9999999973001117,19.386680576856435,19.386680603027344,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.9.ffn.layers.0.0.base_layer,640,1,1,0.999999981834934,21.479543490824444,21.479543685913086,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
